,info,voyage_1,voyage_2,voyage_3,voyage_4,voyage_5,voyage_6,voyage_7,voyage_8,voyage_9
CABALVA,"['Built by Wells, launched 1811, 3 decks, 4in bottom, length 165fl 77/8in, keel 134ft, breadth 42ft, hold 17ft 1m, wing transom 25ft 10m, port cell 28ft IVAm, waist 1ft 3m, between decks 6ft 4I/lm & 6ft 4m, roundhouse 6ft 3m, ports 14 middle & 13 upper, deck range 97ft, 1257 tons Principal Managing Owners 1-2 William Davies, 3-4 John Card']","{'reference': ['L/MAR/B/155A Journal 16 Oct 1811-2 Jul 1813', 'L/MAR/B/155E(1) Ledger', 'L/MAR/B/155E(2) Pay Book', 'L/MAR/B/155E(3) Imprest Book'], 'captain': 'Capt Jonathan Birch', 'itinerary': 'Torbay 4 Jan 1812-6 May Bombay - 13 Jul Penang - 25 Jul Malacca -11 Sep Whampoa - 2 Nov Second Bar - 28 Mar 1813 St Helena - 7 Jun Long Reach'}","{'reference': ['L/MAR/B/155B Journal 8 Oct 1813-1 Sep 1815', 'L/MAR/B/155F(1) Ledger', 'L/MAR/B/155F(2) Pay Book'], 'captain': 'Capt Jonathan Birch', 'itinerary': 'Portsmouth 31 Dec 1813-21 May 1814 Bombay - 6 Aug Penang - 22 Aug Malacca - 29 Sep Lmtin - 30 Nov Whampoa - 7 Jan 1815 Second Bar - 19 Apr St Helena - 27 Jun Purfleet'}","{'reference': ['L/MAR/B/155C Journal 3 Nov 1815-3 Jun 1817', 'L/MAR/B/155G(1) Ledger', 'L/MAR/B/155G(2) Pay Book', 'L/MAR/B/155G(3) Absence Book'], 'captain': [], 'itinerary': 'Downs 23 Jan 1816 - 15 May Bombay -13 Jul Penang - 26 Jul Malacca -19 Aug Whampoa - 20 Oct Second Bar - 2 Mar 1817 St Helena - 6 May Gravesend'}","{'reference': ['L/MAR/B/155D Journal 25 Feb-1 Jul 1818, anon '], 'captain': 'Capt James Dalrymple', 'itinerary': 'Downs 16 Apr 1818 - wrecked off Cadargos, Carajos Reefs nr Mauritius, 7 Jul 1818 - captain, surgeonâ€™s mate and 15 crew drowned'}",,,,,
CADOGAN,"['Rated at 450/460 tons, 30/32 guns, 90/92 crew', 'Journal 17 Jan 1723-7', 'Ledger']","{'reference': ['L/MAR/B/682A Journal 14 Oct 1718-21 Aug 1720 '], 'captain': 'Capt John Hill', 'itinerary': 'Downs 18 Jan 1719-1 May Cape -1 Jul Fort St David - 20 Jul Balasore - 2 Aug Rogues River - 9 Jan 1720 Coxâ€™s Island - 29 Apr Cape - 31 May St Helena - Aug Downs'}","{'reference': ['L/MAR/B/682B Journal 4 Nov 1720-28 Jul 1722 ', 'L/MAR/B/682E Ledger & Pay Book Capt John Hill'], 'captain': [], 'itinerary': 'Downs 4 Feb 1721 - 1 Jul Batavia - 4 Aug Whampoa - 16 Jan 1722 Batavia -14 Apr Cape - 17 May St Helena - Aug Downs'}","{'reference': [], 'captain': 'Capt John Hill', 'itinerary': 'Downs 2 Apr 1724 - 22 May Sao Tiago - 29 Sep Point de Galle - 26 Oct Anjengo - 10 Nov Tellicherry - 28 Nov Bombay - 24 Dec Tellicherry - 20 Mar 1725 Goa - 3 Apr Bombay - 17 Apr Surat - 10 Jul Muscat - 23 Jul Bandar Abbas - 25 Sep Karrack - 6 Oct Basra - 23 Feb 1726 Bandar Abbas - 18 Mar Surat - 7 Apr Bombay - voyage ended 16 Feb 1727'}","{'reference': ['L/MAR/B/682D Journal 9 Oct 1728-25 Nov 1731', 'L/MAR/B/682G(1) Ledger', 'L/MAR/B/682G(2) Pay Book'], 'captain': 'Capt James Saunders', 'itinerary': 'Downs 14 Dec 1728 - 3 Mar 1729 St Helena - 19 Jun Benkulen - 23 Jul Moco Moco - 14 Aug Bantal - 15 Sep Ipoh - 27 Sep Benkulen - 31 Oct Moco Moco - 14 Nov Padang - 4 Jan 1730 Madras -15 Sep Rogues River - 5 Mar 1731 Madras - 6 May Negapatam - 5 Jun Madras - 25 Nov Cape - voyage ended 26 Apr 1732'}",,,,,
CAERNARVON (1),"['Rated at 350/375 tons, 24 guns, 70/75 crew']","{'reference': ['L/MAR/B/589A Journal 28 Oct 1717-3 Jul 1719'], 'captain': 'Capt Josiah Thwaites', 'itinerary': 'Downs 22 Dec 1717 - 7 Apr 1718 Cape - 20 Jul Whampoa - 22 Dec Batavia -13 Mar 1719 Cape - 13 Apr St Helena - Jul Downs'}","{'reference': ['L/MAR/B/589B Journal 29 Feb 1720-28 Aug 1721', 'L/MAR/B/589-I(l) Ledger', 'L/MAR/B/589-I(2) Pay Book'], 'captain': 'Capt Josiah Thwaites', 'itinerary': 'Plymouth 29 Feb 1720 - 22 Aug Whampaoa - 21 Apr 1721 Cape - 29 May St Helena - 28 Aug Enth'}","{'reference': ['L/MAR/B/589C Journal 30 Oct 1722-21 Apr 1724', 'L/MAR/B/589J (1) Ledger', 'L/MAR/B/589J(2) Pay Book'], 'captain': 'Capt Josiah Thwaites', 'itinerary': 'Downs 2 Jan 1723 - 27 Mar Cape - 8 Jun Madras -13 Aug Fort St David -11 Sep Madras - 29 Dec Cape - 29 Jan 1724 St Helena - 21 Apr Downs'}","{'reference': ['L/MAR/B/589D Journal 26 Oct 1725-11 Aug 1727', 'L/MAR/B/589K Ledger'], 'captain': 'Capt Josiah Thwaites', 'itinerary': 'Downs 23 Jan 1726 - 6 May St Helena - 20 Aug Benkulen - 23 Oct Batavia - 3 Dec Banjarmassm 17 Jun 1727 - 9 Jul Benkulen - voyage ended 15 May 1728'}",,,,,
CAERNARVON (2),"['Rated at 499 tons, 99 crew, 30 guns Principal Managing Owner John Hallett']","{'reference': ['L/MAR/B/589E Journal 4 Nov 1755-2 Oct 1758, William Smith, Fourth Mate 7 ', 'L/MAR/B/589L(1) Ledger ', 'L/MAR/B/589L(2) Pay Book'], 'captain': []}",,,,,,,,
CAESAR (1),['attacked by five French pirates off Sao Tiago 31 Oct 1686'],"{'reference': [], 'captain': 'Capt Thomas Andrews'}","{'reference': [], 'captain': []}","{'reference': [], 'captain': 'Capt Thomas Andrews'}","{'reference': [], 'captain': 'Capt Jonathan Andrews', 'itinerary': 'Downs 27 May 1679 - Falmouth 13 Jun - 29 Sep Cape - 24 Dec Bantam 13 Feb 1680 - 9 Jun Ascension - 6 Sep Downs'}","{'reference': [], 'captain': 'Capt Jonathan Andrews', 'itinerary': '16 Jan 1681 - 28 Aug 1682'}","{'reference': [], 'captain': [], 'itinerary': 'Capt Jonathan Andrews 19 Nov 1683 - 1 Jan 1686'}","{'reference': [], 'captain': 'Capt Edmund Wnght', 'itinerary': '10 Sep 1686 - 26 Aug 1690 Milford Haven'}",,
CAESAR (2),[],"{'reference': [], 'captain': 'Capt John Clark', 'itinerary': '13 Apr 1704 - 31 May 1707'}",,"{'reference': [], 'captain': []}",,,,,,
CAESAR (3),"['Rated at 430/440 tons, 30 guns, 86/88 crew']","{'reference': ['L/MAR/B/235A Journal 7 Nov 1720-3 Feb 1722', 'L/MAR/B/235K Ledger'], 'captain': 'Capt William Mabbott', 'itinerary': 'Downs 3 Dec 1720 - 4 Mar 1721 Cape -12 May Mokha - 4 Aug Bombay - 14 Nov Cape -16 Dec St Helena - 3 Feb 1722 Tilbury'}","{'reference': [], 'captain': []}","{'reference': ['L/MAR/B/235M(1) Ledger', 'L/MAR/B/235M(2) Pay Book'], 'captain': 'Capt William Mabbott'}","{'reference': ['L/MAR/B/235C Journal 30 Nov 1730-2 Jun 1732', 'L/MAR/B/235N(1) Ledger', 'L/MAR/B/235N(2) Pay Book'], 'captain': 'Capt William Mabbott', 'itinerary': 'Downs 14 Dec 1730 - 3 Jan 1731 Canaries - 28 Apr Batavia - 26 Jul Whampoa 15 Dec -10 Mar 1732 St Helena - 2 Jun Downs'}",,,,,
CAESAR (4),"['Rated at 499 tons, 99 crew, 30 guns', 'Ledger Pay Book']","{'reference': ['L/MAR/B/235D Journal 11 Apr 1740-23 Aug 1742', 'L/MAR/B/235-0(l) Ledger', 'L/MAR/B/235-0(2) Pay Book'], 'captain': 'Capt Robert Cummings', 'itinerary': 'Downs 19 Apr 1740 - 4 Oct Cape - 8 Feb 1741 Madras - 7 Jan 1742 Cape - 30 Jul Blackwall'}","{'reference': ['L/MAR/B/235E-G Journal 17 Oct 1743-20 Feb 1746', 'L/MAR/B/235P(1) Ledger', 'L/MAR/B/235P(2) Pay Book'], 'captain': 'Capt Matthew Court', 'itinerary': 'Downs 20 Dec 1743 - 12 Mar 1744 St Helena -14 Jul Batavia - 25 Aug Benkulen -17 Sep Moco Moco - 6 Oct Bantal -14 Oct Ipoh - 8 Nov Bentoonan -1 Dec Benkulen - 3 Mar 1744 Cape - 23 Apr St Helena -16 Sep Galway - 22 Dec Long Reach'}","{'reference': ['L/MAR/B/235H Journal 17 Oct 1746-2 Dec 1748', 'L/MAR/B/235Q(1) Ledger', 'L/MAR/B/235Q(2) Pay Book'], 'captain': 'Capt Matthew Court', 'itinerary': 'Downs 13 Jan 1747 - 14 Mar Madeira - 19 Jun St Augustineâ€™s Bay - 21 Sep Batavia - 1 Nov Malacca - 23 Dec Balasore - 9 Jan 1748 Rogues River -13 Feb Ingeli - 5 Jul St Helena - 2 Oct Lisbon - 4 Nov Long Reach'}","{'reference': ['L/MAR/B/235-I Journal 6 Oct 1750-1 Jun 1752'], 'captain': [], 'itinerary': '24 Mar 1751 Cape - 28 May Fort St David - 5 Jun Madras - 1 Aug Whampoa -'}",,,,,
CAESAR (5),"['Chartered ship, 620 tons', 'Principal Managing Owner John A Meabum']","{'reference': ['L/MAR/B/235J Deck Log 18 Jun 1832-27 May 1833 Capt Henry Thompson'], 'captain': [], 'itinerary': 'Downs 12 Jul 1832 - 24 Oct Madras -10 Nov Calcutta - left Bengal 10 Jan 1833 - 15 Mar St Helena - 2 May Downs'}",,,,,,,,
CALCUTTA (1),"['Built by Wells, launched 1758, 3 decks, 3m bottom, rated at 99 crew & 26/30 guns, 632 tons Principal Managing Owners 1-2 John Hallett, 3-4 George Willson', 'Ledger Pay Book']","{'reference': ['L/MAR/B/308A Journal 16 Oct 1758-1 Nov 1760, Pitt Collett, First Mate ', 'L/MAR/B/308-O(l) Ledger', 'L/MAR/B/308-O(2) Pay Book'], 'captain': 'Capt George Willson', 'itinerary': 'Portsmouth 15 Feb 1759 - 11 Mar Madeira - 12 Jul Moheli - 25 Aug Madras - 8 Oct Culpee -19 Nov Hugh -14 Dec Kedgeree - left Bengal 9 Jan 1760 - 10 Apr St Helena - 21 Jul Fernando Loronho - 24 Sep Long Reach'}","{'reference': ['L/MAR/B/308B Journal 11 Feb 1761-2 Apr 1763', 'L/MAR/B/308P(1) Ledger', 'L/MAR/B/308P(2) Pay Book'], 'captain': 'Capt George Thomson', 'itinerary': 'Portsmouth 26 May 1761 -15 Aug Rio de Janeiro - 20 Dec Cochin - 25 Dec Telhcherry - 19 Jan 1762 Bombay - 7 Mar Scmdy - 2 Apr Bombay - 9 May Onore -15 May Telhcherry - 3 Sep St Helena - 11 Dec Kinsale - 20 Feb 1763 Gravesend'}","{'reference': ['L/MAR/B/308C Journal 6 Jan 1764-2 Jan 1766'], 'captain': 'Capt George Thomson', 'itinerary': 'Downs 2 Apr 1764 - 4 Aug Johanna - 6 Sep Bombay -13 Oct Anjengo -15 Nov Ingeh -17 Feb 1765 Madras - 9 Mar Anjengo - 12 Mar Cochin - 23 Mar Tellicherry -11 Apr Bombay - 1 Sep St Helena - 6 Nov Downs'}","{'reference': ['L/MAR/B/308D Journal 31 Oct 1766-21 Sep 1769', 'L/MAR/B/308R(1) Ledger', 'L/MAR/B/308R(2) Pay Book'], 'captain': 'Capt George Thomson', 'itinerary': 'Downs 31 Dec 1766 - 20 Jan 1767 Madeira -1 Jun Johanna - 23 Jul Calcutta - left Bengal 13 Dec - 20 Dec - 20 Jan 1768 Bombay - 22 May Madras - 27 Jul Batavia -17 Oct Cochin - 27 Oct Tellicheny - 13 Nov Bombay - 31 Mar 1769 Cape - 28 Apr St Helena -10 May Ascension -10 Jul Cork - 19 Aug Downs'}",,,,,
