0;1
Napper, Char1es;"5th mate HARCOURT (2) 1772/3; 5th mate PRINCE OF WALES (4) 1775/6 "
Napper, Henry (-1602);"master HECTOR (1) 1600/1; d 25 Feb 1602 "
Napper, Samue1 (-1758);"5th mate ROYAL GUARDIAN 1742/3; 3rd mate DOLPHIN (3) 1744/5; 2nd mate OXFORD 1746/7; 1st mate WARWICK (2) 1750/1, 1753/4, 1756/7; d 20 Apr 1758 "
Nash, A1exander (1771-);"D2 May 1771 Ninkkendioright, kor1ine te vorawes to Indian ag midshipman & 2nd mate in foreign ships 3y 11m; 6th mate GENERAL GODDARD 1788/9; 2nd mate Euphrates to Mediterranean 1y 3m; 4th mate ROSE (2) 1791/2; 3rd mate AIRLY CASTLE 1793/4; 1st mate AIRLY CASTLE 1795/6 & 1797/8; Capt AIRLY CASTLE 1800/1; Capt MARCHIONESS OF EXETER 1803/4, 1805/6 & 1808/9 "
Nash, Edward;"3rd mate NOTTINGHAM (1) 1736/7; purser NOTTINGHAM (1) 1739/40 "
Nash, James;purser LOYAL BLISS 1708/9 
Nash, James (c1757-1823);"b in Eng1and; midshipman VALENTINE (2) 1769/70; seaman Mary to Grenada 8m; midshipman HAWKE (3) 1772/3; midshipman HILLSBOROUGH (1) 1774/5; midshipman ALFRED (1) 1776/7, 4th mate ATLAS (1) 1778/9 (approved 14 Oct 1778, aged 21); 3rd mate BELLMONT 1782/3, transf as 2nd mate to EARL OF CHESTERFIELD at Benga1 24 Oct CFOS, cine, mate OSIUE NUEY @) LISHT & 1FSHOO; ist mats OTN LLEY (3) 1792/3; Capt PRINCESS MARY (2) 1795/6 & 1799/1800; bur 7 May 1823 Bishop's Tawton, Devon m 19 May 1801 St O1ave Hart St, London, Harriet Branston Harriet Rouse bap 29 Sep 1814 John Thomas bap 29 Sep 1814 Samue1 Henry bap 11 Dec 1816 "
Nash, James;Capt CARTIER 1800 
Nash, John;purser LOYAL BLISS 1704/5 
Nash, Samue1;"3rd mate DUKE OF YORK (1) 1716/7; 1st mate STREATHAM (2) 1720/1 "
Nash, Wi11iam;purser PRINCESS OF WALES (1) 1729/30 
Nash, Wi11iam;3rd mate KING GEORGE (3) 1729/30 
Nash, Wy1d;"4th mate TANKERVILLE 1708/9; 5th mate SOMERS 1711/2 "
Nasmith, Robert;surgeon CHARLES II 1683/4 & 1685/6 
Neish, James;Capt FORT WILLIAM (3) 1825/6 
Ne11y, Francis;Capt ANNA (1) 1702/3 & 1706/7 
Ne11y, Francis (-1731);"3rd mate ST GEORGE (2) 1716/7, Capt HERTFORD (1) 1719/20; Capt HERTFORD (2) 1722/3, 1726/7 & 1730/1; d 6 Nov 1731 "
Ne11y, John;"1st mate EDWARD & DUDLEY 1705/6; ist mate ANNA (1) 1706/7 "
Ne1son, Bartho1omew;"6th mate VANSITTART (3) 1788/9 Ne1son; John surgeon DEVONSHIRE (1) 1729/30 "
Ne1son, John;"6th mate WINCHELSEA (3) 1807/8; 5th mate CIRENCESTER 1809/10; 3rd mate CIRENCESTER 1811/2 "
Ne1son, Thomas;surgeon CLIVE 1770/1, TRUE BRITON (3) 1773/4 
Nesbitt, Andrew;3rd mate MANSHIP (2) 1800/1 
Nesbitt, David;surgeon HECTOR (3) 1768/9 
Nesbitt, James;5th mate LETHIEULLIER 1721/2 
Nesbitt, John (1776-);"b 6 May 1776 Mid1othian; seaman ASIA (3) 1790/1; midshipman CERES (2) 1792/3; 2nd mate SOVEREIGN (1) 1794/5; 3rd mate BELVEDERE 1796/7; 1st mate NORTHAMPTON (2) 1800/1 "
