0;1
Tbbetson, Henry;4th mate DEVAYNES 1812/3 
Tbister, David;"Capt SURAT CASTILE Ol) 17216, Capt SURAT CASTILE (@) 1806; subsequently a Principal Managing Owner "
Ibert, Willoughby (1772-);} 16 Sep & dap 25 Cat 1772 West Abrington, Devon, s of William, Esq, 
& Frances, of;"Bowringsleigh House; midshipman DUBLIN 1787/8; midshipman MARQUIS OF LANSDOWN 1789/90; 4th mate HOUGHTON (5) 1792/3 Imny, E surgeon REGENT 1812 "
Impey, Elijah Mathew;6th mate EXETER (2) 1794/5 
Impey Michael John (c1770-);"bin Bagland; Capt's servant DUTTON (2) 1784/5; seaman to Oporto 2m; 6th mate ALBION (2) 1FSHS; Ind mate wo West Latics  mu; presemied as 4th mate ALBION (2) 27 Oct 1790, aged 20, ; resigned before examination "
Ince, Charles;5th mate YORK (1) 1746/7 
Ince, William Boyd;DUNCAN 1804/5 
Indeck, John;mate HECTOR 1600/1 
Ingledon, John;surgeon PRINCESS AMELIA (1) 1717/8 & 1721/2 
Ingledew, -?-;Capt SUSANNAH c1700 
Inglis, Charles;
Inglis, Charles (-1781);active service in Benares war 1781 
nglis, Corelins;
Inglis, Cornelius (-1767);"1757/8; Capt ASIA (2) 1763/4; d 1 Mar 1767 "
Angle, Totes;
Surgeon WARREN 1753/4 (from 15 Jun 1756);"surgeon PRINCESS LOUISA 1736/7, DRAKE (2) 1739/40 & 1742/3 purser ROSE (2) 1798/9, NOTTINGHAM (4) 1800/1, ADMIRAL GARDNER 1802/3, LORD surgeon LORD CAMDEN CL) 1765/6; Bengal Asst Surgeon S Dee 1770; resigned S Mint 1771 surgeon LORD MANSFIELD (1) 1769/70, DUKE OF GRAFTON 1771/2; Bengal Asst Surgeon 5 Mar 1777; Surgeon 28 Oct 1780; d 25 Oct 1781 Bijaigarh in Mirzapur 2nd mate LONDON (9) 1749/50; 1st mate LONDON (9) 1753/4; Capt SHAFTESBURY (2) "
Innes, John (1809-);"b 10 Jul 1809 Queensferry, Linlithgow, s of Campbell & Jean Drysdale; surgeon's mate REPULSE 1828/9; surgeon WINCHELSEA (3) 1830/1 "
Innes, Robert;4th mate STORMONT (2) 1779/80 
