0;1
Kannall, William;"4th mate LORD ELDON 1805/6; 3rd mate LORD ELDON 1807/8; 3rd mate ELPHINSTONE 1809/10; 2nd mate CUMBERLAND 1815/6 "
Karr, Arthur George (1777-1805);"b 15 Sep 1777 pa St Michael's Cornhill, London, s of Arthur George & Martha; midshipman ESSEX (4) 1793/4; 6th mate ESSEX (4) 1795/6; 4th mate LORD DUNCAN 1797/8; 3rd mate WARLEY (2) 1800/1; 2nd mate SIR STEPHEN LUSHINGTON 1802/3; 1st mate DUKE OF MONTROSE 1803/4; drowned 10 May 1805 "
Kay, Brook (1780-);"b 11 Jul 1780 Montreal, Canada, s of William & Ann; midshipman WARLEY (2) 1796/7; 6th mate WARLEY (2) 1798/9; 5th mate WARLEY (2) 1800/1; 3rd mate CUMBERLAND 1802/3; 2nd mate SURREY (1) 1804/5; 1st mate WOODFORD (1) 1806/7; Capt MARQUIS OF ELY 1808/9; Capt MARCHIONESS OF ELY 1811/2, 1813/4, 1815/6, 1817/8, 1819/20 & 1821/2 "
Kay, James;Capt RICHMOND (2) 1819/20 
Kay, William (-1773);"6th mate ALFRED (1) 1772/3; d 30 Sep 1773 "
Keate, Robert;purser NORTHUMBERLAND 1784/5, ASIA (3) 1787/8 
Keate, Samuel;"2nd mate MONTAGU (2) 1722/31 1st mate MONTAGU (2) 1726/7; Capt MONTAGU (2) 1729/30 "
Keating, Christopher;3rd mate NORFOLK (1) 1753/4 
Keble, Page;Capt TONQUIN MERCHANT 1693/4 
Keble, Page (-1713);"4th mate NEPTUNE (1) 1700/1; 2nd mate NEPTUNE (1) 1703/4; 2nd mate ABINGDON 1707/8; Capt SUCCESS (4) 1711/2; d 13 May 1713 "
4 Keble, William (-1721);"q 4th mate CARDONNEL 1714/5; 4th mate HERTFORD (1) 1719/20; d 1 Mar 1721 "
q Keching, William (-1689);"; 4th mate ROYAL JAMES 1688/9; d 20 Feb 1689 "
Kedick, Thomas;2nd mate LAWRELL 1682/3 
Kedslie, Andrew;surgeon DUNIRA 1817/8, 1819/20, 1821/2 & 1823/4 
Keeling, Edward;"2nd mate SCIPIO AFRICANUS 1680/1; mate COAST (2) 1682/3; Capt WORCESTER (1) 1685/6 "
Keith, George;"surgeon LORD DUNCAN 1811/2; actg Asst Surgeon Bombay 31 Oct 1812, appointment not confirmed; d 11 Sep 1815 Dhural, Kathiawar active service in Gujarat and Kathia War 1815 "
Kekewich, John (-1709);"4th mate AURANGZEBE 1705/6; d 19 Feb 1709 "
Kekewich, Samuel;"4th mate BLENHEIM 1711/2; 3rd mate QUEEN (2) 1714/5 "
Kell, John;surgeon INDISPENSABLE 1795 
Kellaway, James (1789-);"bap 7 Oct 1789 Winterborne, Dorset; midshipman PHOENIX (5) 1804/5; 5th mate PHOENIX (S) 1807/8; 4th mate PHOENIX (5) 1809/10; 3rd mate PRINCESS AMELIA (4) 1812/3 & 1814/5; 2nd mate PRINCESS AMELIA (4) 1815/6 & 1817/8; 1st mate PRINCESS AMELIA (4) 1819/20, 1821/2 & 1823/4; Capt PRINCESS AMELIA (4) 1825/6; Capt BOMBAY (3) 1830/1 & 1832/3 "
Kellaway, Robert (-1746);"4th mate BEAUFORT (2) 1737/8; 2nd mate BENJAMIN (3) 1741/2; 2nd mate LAPWING (1) 1743/4; 1st mate DOLPHIN (3) 1744/5; d 28 May 1746 "
Kellaway, William;6th mate MARY (6) 1717/8 
Keller, John Story;3rd mate ROYAL ADMIRAL (2) 1799/1800 
Kellett, Ralph;4th mate PRINCE WILLIAM (1) 1729/30 
Kellett, Robert;"3rd mate HANOVER 1721/2; 2nd mate MARLBOROUGH (3) 1728/9; 2nd mate MARLBOROUGH (4) 1731/2; 2nd mate DUKE OF DORSET (1) 1733/4 "
Kellett, Robert;6th mate ATLAS (4) 1828/9 
Kellwick, William Cotton;"6th mate ESSEX (2) 1747/8; 1st mate GUARDIAN 1751/2 "
