0;1
Upton, Anthony;purser PRINCE AUGUSTUS 1722/3 
Upton, Clotworthy (1763-);"b 23 Mar & bap 19 Apr 1763 St Marylebone, London, s of Clotworthy & Elizabeth; in Royal Navy 7y 7m; 5th mate HARTWELL 1786/7; 4th mate KING GEORGE (4) 1791/2; 2nd mate ING GRORGE @ 17934 "
Upton, Henry (1760-);"b 28 Jan 1769 Colworth, Sussex; midshipman ROCKINGHAM (1) 1788/9 & 1791/2; 4th mate GENERAL GODDARD 1793/4; 3rd mate LASCELLES 1795/6; 2nd mate LADY JANE DUNDAS 1799/1800 & 1801/2; 1st mate TRUE BRITON (4) 1803/4; 1st mate WALTHAMSTOW 1805/6, 1st mate WINDHAM (2) 1808/9; 1st mate CEYLON 1809/10 (from Apr 1811); 1st mate GLATTON (4) 1813/4 "
Upton, John (-1721);"4th mate & purser CARDONNEL 1719/20; d 20 Dec 1721 "
Upton, William;"Capt LONDON (6) 1710/1; Capt LONDON (7) 1719/20 "
Upton, William (1778-);"b 21 Dec 1778 Oving, Sussex; midshipman LASCELLES 1795/6; 6th mate GLATTON (4) 1798/9; 4th mate GLATTON (4) 1801/2; 3rd mate GLATTON (4) 1803/4; 2nd mate GLATTON (4) 1805/6 & 1808/9; 2nd mate COUTTS 1811/2; 1st mate COUTTS 1813/4 "
Ure, George (-1806);"surgeon INTELLIGENCE 1785, MELVILLE CASTLE 1786/7, 1788/9 & 1791/2; Bengal Asst Surgeon 10 Sep 1792; Surgeon 27 Oct 1806; d 11 Dec 1806 Hyderabad "
Urmston, Augustus Henry;"midshipman THOMAS GRENVILLE 1815/6; 6th mate WATERLOO (1) 1818/9; 5th mate THOMAS GRENVILLE 1820/1; 5th mate WATERLOO (1) 1822/3; 4th mate WATERLOO (1) 1824/5; 4th mate THOMAS GRENVILLE 1826/7; 3rd mate THOMAS GRENVILLE 1828/9; 2nd mate BUCKINGHAMSHIRE 1830/1; 2nd mate THOMAS GRENVILLE 1832/3 m 20 Jun 1832 Edinburgh, Margaret Graham dau of Lt-Gen J. Graham Stirling "
Urmston, James (c1746-);"seaman & midshipman HMS Bedford and Weasel ly 1m; seaman HAVANNAH 1762/3; 6th mate FOX (1) 1764/5; 3rd mate FOX (1) 1768/9; mate HMS Triumph 11m; 2nd mate FOX (2) 1771/2 (approved 4 Dec 1771, aged 25) & 1775/6; 1st mate EARL OF MANSFIELD 1777/8, Capt LORD MULGRAVE 1780/1; Capt FRANCIS (2) 1784/5; Capt TAUNTON CASTLE 1790/1; Capt SIR EDWARD HUGHES 1793/4, 1796/7, 1798/9, 1800/1 & 1801/2 "
Urmston, Luke (1766-);"b 18 Apr 1766, s of William, of Trinity College, Dublin; Capt's servant LORD MULGRAVE 1780/1; midshipman HMS Hannibal 3m; midshipman FRANCIS (2) 1784/5; midshipman HMS Porcupine 6m; 5th mate FRANCIS (2) 1786/7; 3rd mate PIGOT (2) 1788/9; 2nd mate KENT (S) 1790/1; 2nd mate FRANCIS (2) 1792/3; 1st mate KENT (5) 1794/5; 1st mate LORD DUNCAN 1797/8; 1st mate SIR EDWARD HAMILTON 1800/1; 1st mate HUDDART 1802/3 & 1803/4 "
Urmston, William (1767-);"b 23 Jul 1767, s of William, of Trinity College, Dublin; Capt's servant LORD MULGRAVE 1780/1; midshipman HMS Hannibal 3m; midshipman FRANCIS (2) 1784/5; midshipman HMS Porcupine 6m; 6th mate ROSE (2) 1786/7; 3rd mate MIDDLESEX (2) 1788/9; 2nd mate TAUNTON CASTLE 1790/1; 1st mate TAUNTON CASTLE 1793/4 & 1795/6  "
